2025-07-22 16:07:47,490 | SLAM.__main__ | WARNING | log_performance:113 | update_sensors took 0.121s (slow operation)
2025-07-22 16:07:48,082 | SLAM.rosbot_controller | WARNING | _update_advanced_slam:510 | SLAM update error: KeyFrame.__init__() got an unexpected keyword argument 'lidar_scan'
2025-07-22 16:07:48,083 | SLAM.__main__ | WARNING | log_performance:113 | _update_advanced_slam took 0.592s (slow operation)
2025-07-22 16:07:48,083 | SLAM.rosbot_controller | CRITICAL | check_advanced_safety:865 | Emergency stop - obstacle detected!
2025-07-22 16:07:48,259 | SLAM.__main__ | WARNING | log_performance:113 | update_sensors took 0.140s (slow operation)
2025-07-22 16:07:48,381 | SLAM.rosbot_controller | WARNING | _update_advanced_slam:510 | SLAM update error: cannot access local variable 'avg_error' where it is not associated with a value
2025-07-22 16:07:48,383 | SLAM.__main__ | WARNING | log_performance:113 | _update_advanced_slam took 0.124s (slow operation)
2025-07-22 16:07:48,383 | SLAM.rosbot_controller | CRITICAL | check_advanced_safety:865 | Emergency stop - obstacle detected!
2025-07-22 16:07:48,770 | SLAM.__main__ | WARNING | log_performance:113 | update_sensors took 0.284s (slow operation)
2025-07-22 16:07:48,924 | SLAM.rosbot_controller | WARNING | _update_advanced_slam:510 | SLAM update error: cannot access local variable 'avg_error' where it is not associated with a value
2025-07-22 16:07:48,924 | SLAM.__main__ | WARNING | log_performance:113 | _update_advanced_slam took 0.154s (slow operation)
2025-07-22 16:07:48,925 | SLAM.rosbot_controller | CRITICAL | check_advanced_safety:865 | Emergency stop - obstacle detected!
2025-07-22 16:07:49,129 | SLAM.__main__ | WARNING | log_performance:113 | update_sensors took 0.164s (slow operation)
2025-07-22 16:07:49,246 | SLAM.rosbot_controller | WARNING | _update_advanced_slam:510 | SLAM update error: cannot access local variable 'avg_error' where it is not associated with a value
2025-07-22 16:07:49,246 | SLAM.__main__ | WARNING | log_performance:113 | _update_advanced_slam took 0.116s (slow operation)
2025-07-22 16:07:49,247 | SLAM.rosbot_controller | CRITICAL | check_advanced_safety:865 | Emergency stop - obstacle detected!
2025-07-22 16:07:49,485 | SLAM.__main__ | WARNING | log_performance:113 | update_sensors took 0.148s (slow operation)
2025-07-22 16:07:49,583 | SLAM.rosbot_controller | WARNING | _update_advanced_slam:510 | SLAM update error: cannot access local variable 'avg_error' where it is not associated with a value
2025-07-22 16:07:49,584 | SLAM.rosbot_controller | CRITICAL | check_advanced_safety:865 | Emergency stop - obstacle detected!
2025-07-22 16:07:49,754 | SLAM.__main__ | WARNING | log_performance:113 | update_sensors took 0.132s (slow operation)
2025-07-22 16:07:49,839 | SLAM.rosbot_controller | WARNING | _update_advanced_slam:510 | SLAM update error: cannot access local variable 'avg_error' where it is not associated with a value
2025-07-22 16:07:49,840 | SLAM.rosbot_controller | CRITICAL | check_advanced_safety:865 | Emergency stop - obstacle detected!
2025-07-22 16:07:49,996 | SLAM.__main__ | WARNING | log_performance:113 | update_sensors took 0.125s (slow operation)
2025-07-22 16:07:50,068 | SLAM.rosbot_controller | WARNING | _update_advanced_slam:510 | SLAM update error: cannot access local variable 'avg_error' where it is not associated with a value
2025-07-22 16:07:50,069 | SLAM.rosbot_controller | CRITICAL | check_advanced_safety:865 | Emergency stop - obstacle detected!
