2025-07-22 16:07:47,236 | SLAM.rosbot_controller | INFO | _init_motors:130 | 4-wheel motor system initialized
2025-07-22 16:07:47,237 | SLAM.rosbot_controller | INFO | _init_sensors:146 | RGB Camera enabled
2025-07-22 16:07:47,237 | SLAM.rosbot_controller | INFO | _init_sensors:156 | Depth Camera enabled
2025-07-22 16:07:47,237 | SLAM.rosbot_controller | INFO | _init_sensors:166 | LiDAR enabled
2025-07-22 16:07:47,237 | SLAM.rosbot_controller | INFO | _init_sensors:183 | Wheel encoders initialized
2025-07-22 16:07:47,237 | SLAM.rosbot_controller | INFO | _init_sensors:208 | Complete sensor suite initialized
2025-07-22 16:07:47,238 | SLAM.rosbot_controller | INFO | _init_advanced_slam:224 | Enhanced Occupancy Grid initialized
2025-07-22 16:07:47,239 | SLAM.rosbot_controller | INFO | _init_advanced_slam:229 | A* Path Planner initialized
2025-07-22 16:07:47,239 | SLAM.rosbot_controller | INFO | _init_advanced_slam:243 | Frontier & Autonomous Explorer initialized
2025-07-22 16:07:47,246 | SLAM.rosbot_controller | INFO | _init_advanced_slam:254 | Pillar Detection & Mapping initialized
2025-07-22 16:07:47,247 | SLAM.rosbot_controller | INFO | _init_advanced_slam:260 | Advanced Sensor Fusion initialized
2025-07-22 16:07:47,250 | SLAM.rosbot_controller | INFO | _init_advanced_slam:265 | Visual Odometry initialized
2025-07-22 16:07:47,250 | SLAM.rosbot_controller | INFO | _init_advanced_slam:273 | Loop Closure Detection initialized
2025-07-22 16:07:47,250 | SLAM.rosbot_controller | INFO | _init_advanced_slam:282 | Robust SLAM Manager initialized
2025-07-22 16:07:47,490 | SLAM.__main__ | WARNING | log_performance:113 | update_sensors took 0.121s (slow operation)
2025-07-22 16:07:48,024 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.006s
2025-07-22 16:07:48,024 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_visual_odometry completed in 0.007s
2025-07-22 16:07:48,025 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.000s
2025-07-22 16:07:48,025 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_wheel_odometry completed in 0.001s
2025-07-22 16:07:48,033 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_lidar_scan completed in 0.008s
2025-07-22 16:07:48,067 | SLAM.enhanced_occupancy_grid | DEBUG | log_performance:115 | update_visual_features completed in 0.025s
2025-07-22 16:07:48,068 | SLAM.enhanced_occupancy_grid | DEBUG | log_performance:115 | update_grid completed in 0.034s
2025-07-22 16:07:48,082 | SLAM.rosbot_controller | WARNING | _update_advanced_slam:510 | SLAM update error: KeyFrame.__init__() got an unexpected keyword argument 'lidar_scan'
2025-07-22 16:07:48,083 | SLAM.__main__ | WARNING | log_performance:113 | _update_advanced_slam took 0.592s (slow operation)
2025-07-22 16:07:48,083 | SLAM.rosbot_controller | CRITICAL | check_advanced_safety:865 | Emergency stop - obstacle detected!
2025-07-22 16:07:48,259 | SLAM.__main__ | WARNING | log_performance:113 | update_sensors took 0.140s (slow operation)
2025-07-22 16:07:48,309 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.000s
2025-07-22 16:07:48,310 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_visual_odometry completed in 0.001s
2025-07-22 16:07:48,310 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.000s
2025-07-22 16:07:48,311 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_wheel_odometry completed in 0.001s
2025-07-22 16:07:48,381 | SLAM.rosbot_controller | WARNING | _update_advanced_slam:510 | SLAM update error: cannot access local variable 'avg_error' where it is not associated with a value
2025-07-22 16:07:48,383 | SLAM.__main__ | WARNING | log_performance:113 | _update_advanced_slam took 0.124s (slow operation)
2025-07-22 16:07:48,383 | SLAM.rosbot_controller | CRITICAL | check_advanced_safety:865 | Emergency stop - obstacle detected!
2025-07-22 16:07:48,770 | SLAM.__main__ | WARNING | log_performance:113 | update_sensors took 0.284s (slow operation)
2025-07-22 16:07:48,809 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.000s
2025-07-22 16:07:48,809 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_visual_odometry completed in 0.001s
2025-07-22 16:07:48,810 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.000s
2025-07-22 16:07:48,810 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_wheel_odometry completed in 0.001s
2025-07-22 16:07:48,924 | SLAM.rosbot_controller | WARNING | _update_advanced_slam:510 | SLAM update error: cannot access local variable 'avg_error' where it is not associated with a value
2025-07-22 16:07:48,924 | SLAM.__main__ | WARNING | log_performance:113 | _update_advanced_slam took 0.154s (slow operation)
2025-07-22 16:07:48,925 | SLAM.rosbot_controller | CRITICAL | check_advanced_safety:865 | Emergency stop - obstacle detected!
2025-07-22 16:07:49,129 | SLAM.__main__ | WARNING | log_performance:113 | update_sensors took 0.164s (slow operation)
2025-07-22 16:07:49,166 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.000s
2025-07-22 16:07:49,166 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_visual_odometry completed in 0.001s
2025-07-22 16:07:49,167 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.000s
2025-07-22 16:07:49,167 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_wheel_odometry completed in 0.001s
2025-07-22 16:07:49,246 | SLAM.rosbot_controller | WARNING | _update_advanced_slam:510 | SLAM update error: cannot access local variable 'avg_error' where it is not associated with a value
2025-07-22 16:07:49,246 | SLAM.__main__ | WARNING | log_performance:113 | _update_advanced_slam took 0.116s (slow operation)
2025-07-22 16:07:49,247 | SLAM.rosbot_controller | CRITICAL | check_advanced_safety:865 | Emergency stop - obstacle detected!
2025-07-22 16:07:49,485 | SLAM.__main__ | WARNING | log_performance:113 | update_sensors took 0.148s (slow operation)
2025-07-22 16:07:49,518 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.000s
2025-07-22 16:07:49,518 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_visual_odometry completed in 0.001s
2025-07-22 16:07:49,519 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.000s
2025-07-22 16:07:49,519 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_wheel_odometry completed in 0.000s
2025-07-22 16:07:49,583 | SLAM.rosbot_controller | WARNING | _update_advanced_slam:510 | SLAM update error: cannot access local variable 'avg_error' where it is not associated with a value
2025-07-22 16:07:49,584 | SLAM.__main__ | DEBUG | log_performance:115 | _update_advanced_slam completed in 0.099s
2025-07-22 16:07:49,584 | SLAM.rosbot_controller | CRITICAL | check_advanced_safety:865 | Emergency stop - obstacle detected!
2025-07-22 16:07:49,754 | SLAM.__main__ | WARNING | log_performance:113 | update_sensors took 0.132s (slow operation)
2025-07-22 16:07:49,784 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.000s
2025-07-22 16:07:49,784 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_visual_odometry completed in 0.001s
2025-07-22 16:07:49,785 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.000s
2025-07-22 16:07:49,785 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_wheel_odometry completed in 0.001s
2025-07-22 16:07:49,839 | SLAM.rosbot_controller | WARNING | _update_advanced_slam:510 | SLAM update error: cannot access local variable 'avg_error' where it is not associated with a value
2025-07-22 16:07:49,840 | SLAM.__main__ | DEBUG | log_performance:115 | _update_advanced_slam completed in 0.085s
2025-07-22 16:07:49,840 | SLAM.rosbot_controller | CRITICAL | check_advanced_safety:865 | Emergency stop - obstacle detected!
2025-07-22 16:07:49,996 | SLAM.__main__ | WARNING | log_performance:113 | update_sensors took 0.125s (slow operation)
2025-07-22 16:07:50,022 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.000s
2025-07-22 16:07:50,022 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_visual_odometry completed in 0.001s
2025-07-22 16:07:50,023 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.000s
2025-07-22 16:07:50,023 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_wheel_odometry completed in 0.001s
2025-07-22 16:07:50,068 | SLAM.rosbot_controller | WARNING | _update_advanced_slam:510 | SLAM update error: cannot access local variable 'avg_error' where it is not associated with a value
2025-07-22 16:07:50,068 | SLAM.__main__ | DEBUG | log_performance:115 | _update_advanced_slam completed in 0.071s
2025-07-22 16:07:50,069 | SLAM.rosbot_controller | CRITICAL | check_advanced_safety:865 | Emergency stop - obstacle detected!
2025-07-22 16:07:50,221 | SLAM.__main__ | WARNING | log_performance:113 | update_sensors took 0.120s (slow operation)
2025-07-22 16:07:50,254 | SLAM.sensor_fusion | DEBUG | log_performance:115 | update_pose completed in 0.000s
